expression,word_class,related_forms,meaning_pt,meaning_en,locality,state,category,example_pt,example_en,record_source,confidence,context_note_pt,context_note_en
"gastura","noun","","Uma sensação intensa de incômodo ou aversão sensorial, provocada por certos sons, texturas ou outros estímulos.","A strong, visceral feeling of sensory discomfort or aversion, often triggered by a sound, texture, or other stimulus.","Southern Piauí; possibly the Cariri region (to be confirmed)","Piauí","sensory discomfort","Esse tecido me causa gastura.","This fabric gives me a strong sensory discomfort.","personal memory; family speech; observation","high","Uso registrado a partir da experiência da autora e de uso frequente percebido em sua cidade. A distribuição geográfica e possíveis outros sentidos ainda precisam ser confirmados.","Recorded from the author's lived experience and frequent use perceived in her city. Its geographic distribution and possible additional meanings still need confirmation."
"dengo","noun","dengoso; dengosa","Carinho, afeição ou uma pessoa por quem se sente muito apreço e cuidado. Formas relacionadas, como dengoso e dengosa, podem descrever alguém meigo, carente de atenção ou um pouco mimado.","Tender affection, pampering, or a deeply cherished person. Related forms such as dengoso and dengosa may describe someone who is endearingly needy, affectionate, or, depending on tone, overly pampered.","Piauí; broader use in Northeast Brazil to be confirmed","Piauí","affection and interpersonal relationships","Ela é meu dengo, eu a amo. Ela é muito dengosa.","She is my darling; I love her. She is very needy and affectionate.","personal memory; family speech; observation","high","Uso registrado a partir da experiência da autora e de uso frequente percebido em sua cidade. Dengo, dengoso e dengosa têm usos relacionados, mas podem merecer registros independentes em versões futuras. A distribuição regional ampla ainda precisa ser confirmada.","Recorded from the author's lived experience and frequent use perceived in her city. Dengo, dengoso, and dengosa have related uses but may deserve independent records in future versions. Broader regional distribution still needs confirmation."
"ariado","adjective","ariada","Estar perdido ou desorientado, não apenas em um lugar novo ou desconhecido, mas também sem conseguir se localizar em um local familiar.","Feeling lost or disoriented, not only in a new or unfamiliar place, but also being unable to orient oneself in a place one normally knows well.","Piauí; broader use in Northeast Brazil to be confirmed","Piauí","orientation and disorientation","Fui até o poço buscar água e fiquei ariado na volta, sem saber onde estava. Na cidade grande, fiquei ariado sem saber aonde ir.","I went to the well to fetch water and became lost on the way back, without knowing where I was. In the big city, I felt ariado and did not know where to go.","personal memory; family speech; observation","high","Uso registrado a partir da experiência da autora, de fala familiar e de uso frequente percebido em sua cidade. A palavra descreve um uso cotidiano de estar perdido ou sem orientação; não é usada aqui como termo médico. A distribuição regional e possíveis sentidos adicionais ainda precisam ser confirmados.","Recorded from the author's lived experience, family speech, and frequent use perceived in her city. The word describes an everyday sense of being lost or unable to orient oneself; it is not used here as a medical term. Regional distribution and possible additional meanings still need confirmation."
"avia","imperative verb","aviar","Forma imperativa usada para pedir, cobrar ou impor que alguém se apresse, acelere ou se prepare mais rapidamente.","An imperative command used to tell someone to hurry up, move faster, or get ready quickly.","Piauí; broader use in Northeast Brazil to be confirmed","Piauí","urgency and instruction","A seresta começa em 15 minutos, avia ou vamos nos atrasar.","The seresta starts in 15 minutes; hurry up or we will be late.","personal memory; family speech; observation","high","Uso registrado a partir da experiência da autora e de uso frequente percebido em sua cidade. O tom pode variar de cotidiano e direto a firme ou impaciente, conforme a entonação e a relação entre as pessoas. A distribuição regional e formas relacionadas ainda precisam ser confirmadas.","Recorded from the author's lived experience and frequent use perceived in her city. Its tone can range from everyday and direct to firm or impatient, depending on intonation and the relationship between speakers. Regional distribution and related forms still need confirmation."
"matuto","noun / adjective","matuta","Pessoa associada ao interior, a costumes mais tradicionais ou à sensação de não se encaixar em certas modas, tecnologias ou comportamentos urbanos. Pode ser usada de forma humorística ou autoirônica por quem fala sobre si, mas também pode ser usada de modo pejorativo para diminuir outra pessoa por sua origem rural, sotaque, modo de falar ou suposta falta de familiaridade com práticas urbanas.","A person associated with rural roots, traditional habits, or feeling out of place with certain urban fashions, technologies, or behaviors. It can be humorous or self-ironic when used by someone about themselves, but it can also be pejorative when used to diminish another person because of rural background, accent, speech, or assumed unfamiliarity with urban life.","Piauí; broader distribution in Northeast Brazil and beyond to be confirmed","Piauí","rural identity and social judgment","Sou matuta, minha filha; não sei usar esse Facebook, não. Não, eu sou matuta; não visto essas roupas rasgadas, não.","I am matuta, my daughter; I do not know how to use this Facebook. No, I am matuta; I do not wear those ripped clothes.","personal memory; family speech; observation","high","O uso pode variar radicalmente conforme o falante, o alvo, a relação e o tom. Como autodescrição, pode comunicar humor, humildade, pertencimento ou autoironia. Aplicada por outra pessoa, sobretudo alguém de fora do mesmo contexto, pode reforçar estereótipos e funcionar como ofensa. A frequência regional e as variações sociais ainda precisam ser confirmadas.","The use can vary substantially depending on the speaker, target, relationship, and tone. As a self-description, it can communicate humor, humility, belonging, or self-irony. Applied by someone else, especially an outsider to the same context, it can reinforce stereotypes and function as an insult. Regional frequency and social variations still need confirmation."























